EVOLUCIÓ OCUPACIÓ Rural_21;;;
en %;Ocupació % per places;;
;Rural_21;Rural_20;Rural_19
Gener;2,9;10,5;8,3
Febrer;2,0;12,6;13,4
Març;7,9;5,0;15,6
Abril;0,0;0,0;19,8
Maig;0,0;nd;17,1
Juny;0,0;19,5;23,9
Juliol;0,0;35,1;31,0
Agost;0,0;53,4;50,0
Setembre;0,0;18,2;19,3
Octubre;0,0;7,3;15,5
Novembre;0,0;0,8;18,9
Desembre;0,0;9,2;24,3
;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;
