SINTESI MARÇ 2021;;;;;;;;
;Número;var. Interanual '20 (%);var. Interanual '19 (%);;;;;
Viatgers;96.819;-40,8%;-65,8%;;;;;
Pernoctacions;211.206;28,3%;-65,9%;;;;;
Establiments allotjaments oberts;684;20,4%;-34,4%;;;;;
;;;;;;;;
;Pes s/total (%) domèstic;Pes s/total (%) estranger;;;;;;
Viatgers;88,3%;11,7%;;;;;;
Pernoctacions;86,5%;13,5%;;;;;;
;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;
