VARIACIONS INTERANUALS ESTABLIMENTS HOTELERS;;;;;;;;;;;;
% var. Interanual '20;;;;;;;;;;;;
;;;;;;;;;;;;
ESTABLIMENTS HOTELERS;Alt Penedès;Anoia;Bages;Baix Llobregat;Berguedà;Garraf;Maresme;Moianès;Osona;Vallès Occidental;Vallès Oriental;
Viatgers;-5%;18%;155%;22%;60%;5%;-5%;302%;76%;17%;31%;
Pernoctacions;-3%;19%;117%;17%;46%;-7%;-12%;320%;47%;16%;30%;
;;;;;;;;;;;;
;;;;;;;;;;;;
Font: Elaboració pròpia del LABturisme en base a dades de l'Enquesta d'ocupació en allotjaments de l'INE.;;;;;;;;;;;;
;;;;;;;;;;;;
